asset,n_observations,mean_daily,std_daily,mean_annual,std_annual,sharpe_ratio,signal_noise_ratio,signal_fraction,noise_fraction,asset_type
BTCUSD,2051,0.0017815211676822406,0.039622184213508785,0.44894333425592464,0.6289826749808016,0.7137610495704475,0.04496271982590119,0.002021646174142488,0.9979783538258575,Crypto
AAPL,1760,0.0011859141253600669,0.01924147187634169,0.29885035959073686,0.30544889666186087,0.9783972469920926,0.06163323330884084,0.003798655448102008,0.996201344551898,Equity
GOOGL,1760,0.0009046878124333377,0.019387954426441503,0.2279813287332011,0.30777423505570883,0.7407420854833259,0.04666236532924353,0.002177376338119789,0.9978226236618802,Equity
MSFT,1760,0.001069624462145064,0.018202079646207008,0.2695453644605561,0.28894905652832575,0.9328473596664348,0.05876386011572885,0.003453191255700948,0.996546808744299,Equity
NVDA,1760,0.0023987339401783576,0.03245607070625941,0.6044809529249461,0.5152241497385454,1.1732387801148196,0.07390709620668108,0.005462258869703614,0.9945377411302964,Equity
SPY,1760,0.0005190974096559315,0.0123012485091518,0.13081254723329475,0.19527626622491828,0.669884516752412,0.04219875805856104,0.0017807351816849705,0.998219264818315,Equity
MOVE,1754,0.001647697989293204,0.05000446896515944,0.4152198933018874,0.7937963359419554,0.5230811412214045,0.032951014647135554,0.0010857693662757418,0.9989142306337243,Risk Gauge
USGG10YR,1826,0.0009308322546850728,0.034529334767038976,0.23456972818063834,0.5481361963804892,0.427940591644146,0.02695772336667276,0.0007267188491140547,0.999273281150886,Risk Gauge
VIX,1779,0.0037387684490884274,0.08779671147984444,0.9421696491702837,1.3937295870297481,0.6760060616767073,0.042584379142113306,0.0018134293469192551,0.9981865706530807,Risk Gauge
