date,ticker,PX_LAST,return,log_return,asset_type,asset_name
2018-01-02,AAPL,43.065,,,Equity,AAPL
2018-01-03,AAPL,43.0575,-0.00017415534656917142,-0.00017417051337248623,Equity,AAPL
2018-01-04,AAPL,43.2575,0.004644951518318674,0.004634197020902013,Equity,AAPL
2018-01-05,AAPL,43.75,0.011385308905970115,0.011320984054957106,Equity,AAPL
2018-01-08,AAPL,43.5875,-0.003714285714285781,-0.0037212008018539565,Equity,AAPL
2018-01-09,AAPL,43.5825,-0.00011471178663602366,-0.00011471836653621983,Equity,AAPL
2018-01-10,AAPL,43.5725,-0.00022944989387951864,-0.00022947622153374797,Equity,AAPL
2018-01-11,AAPL,43.82,0.005680188192093594,0.005664116753620801,Equity,AAPL
2018-01-12,AAPL,44.2725,0.010326335006846099,0.010273382633496518,Equity,AAPL
2018-01-16,AAPL,44.0475,-0.005082161612739333,-0.005095119718169932,Equity,AAPL
2018-01-17,AAPL,44.775,0.0165162608547591,0.016381350864128324,Equity,AAPL
2018-01-18,AAPL,44.815,0.0008933556672250376,0.0008929568625495602,Equity,AAPL
2018-01-19,AAPL,44.615,-0.004462791476068206,-0.004472779457210183,Equity,AAPL
2018-01-22,AAPL,44.25,-0.008181105009525957,-0.008214753898176243,Equity,AAPL
2018-01-23,AAPL,44.26,0.00022598870056489417,0.00022596316896499895,Equity,AAPL
2018-01-24,AAPL,43.555,-0.015928603705377298,-0.016056827352048247,Equity,AAPL
2018-01-25,AAPL,42.7775,-0.017850992997359594,-0.018012243846866834,Equity,AAPL
2018-01-26,AAPL,42.8775,0.0023376775173864495,0.002334949400110534,Equity,AAPL
2018-01-29,AAPL,41.99,-0.020698501545099335,-0.020915718127997005,Equity,AAPL
2018-01-30,AAPL,41.7425,-0.005894260538223395,-0.005911700255126828,Equity,AAPL
2018-01-31,AAPL,41.8575,0.0027549859256155163,0.0027511979075863237,Equity,AAPL
2018-02-01,AAPL,41.945,0.0020904258496088346,0.002088243949696684,Equity,AAPL
2018-02-02,AAPL,40.125,-0.04339015377279776,-0.04435965484807803,Equity,AAPL
2018-02-05,AAPL,39.1225,-0.02498442367601239,-0.025301832394989912,Equity,AAPL
2018-02-06,AAPL,40.7575,0.04179180778324487,0.0409421227764823,Equity,AAPL
2018-02-07,AAPL,39.885,-0.021407102987180293,-0.021639558468579508,Equity,AAPL
2018-02-08,AAPL,38.7875,-0.0275166102544816,-0.0279022835885942,Equity,AAPL
2018-02-09,AAPL,39.1025,0.0081211730583306,0.008088373791760913,Equity,AAPL
2018-02-12,AAPL,40.6775,0.04027875455533536,0.03948871046507747,Equity,AAPL
2018-02-13,AAPL,41.085,0.010017823120889835,0.00996797735181408,Equity,AAPL
2018-02-14,AAPL,41.8425,0.018437385907265513,0.018269478022504962,Equity,AAPL
2018-02-15,AAPL,43.2475,0.03357829957579028,0.03302685883333945,Equity,AAPL
2018-02-16,AAPL,43.1075,-0.00323718133996187,-0.003242432346845786,Equity,AAPL
2018-02-20,AAPL,42.9625,-0.003363683813721541,-0.0033693537161973816,Equity,AAPL
2018-02-21,AAPL,42.7675,-0.004538842013383726,-0.004549173831642337,Equity,AAPL
2018-02-22,AAPL,43.125,0.008359151224644812,0.008324407007213864,Equity,AAPL
2018-02-23,AAPL,43.875,0.017391304347825987,0.017241806434505954,Equity,AAPL
2018-02-26,AAPL,44.7425,0.01977207977207973,0.019579151123396435,Equity,AAPL
2018-02-27,AAPL,44.5975,-0.0032407666089289133,-0.0032460292661408183,Equity,AAPL
2018-02-28,AAPL,44.53,-0.0015135377543583628,-0.001514684309674505,Equity,AAPL
2018-03-01,AAPL,43.75,-0.017516281158769353,-0.017671506529987557,Equity,AAPL
2018-03-02,AAPL,44.0525,0.006914285714285651,0.0068904916571251255,Equity,AAPL
2018-03-05,AAPL,44.205,0.003461778559673112,0.0034558003970191075,Equity,AAPL
2018-03-06,AAPL,44.1675,-0.0008483203257549921,-0.0008486803530692628,Equity,AAPL
2018-03-07,AAPL,43.7575,-0.009282843719929712,-0.00932619782184482,Equity,AAPL
2018-03-08,AAPL,44.235,0.010912415014568966,0.010853304252495751,Equity,AAPL
2018-03-09,AAPL,44.995,0.017180965298971396,0.01703504155056259,Equity,AAPL
2018-03-12,AAPL,45.43,0.009667740860095586,0.009621307285400097,Equity,AAPL
2018-03-13,AAPL,44.9925,-0.009630200308166414,-0.009676870558091138,Equity,AAPL
2018-03-14,AAPL,44.61,-0.008501416902817138,-0.008537760073047405,Equity,AAPL
2018-03-15,AAPL,44.6625,0.0011768661735036545,0.0011761742093547428,Equity,AAPL
2018-03-16,AAPL,44.505,-0.0035264483627204246,-0.0035326809386333857,Equity,AAPL
2018-03-19,AAPL,43.825,-0.015279182114369183,-0.015397111603596634,Equity,AAPL
2018-03-20,AAPL,43.81,-0.0003422703936110105,-0.0003423289814911611,Equity,AAPL
2018-03-21,AAPL,42.8175,-0.022654645058205913,-0.02291520430142023,Equity,AAPL
2018-03-22,AAPL,42.2125,-0.014129736673089366,-0.014230511812700894,Equity,AAPL
2018-03-23,AAPL,41.235,-0.02315664791234817,-0.02342897542636729,Equity,AAPL
2018-03-26,AAPL,43.1925,0.047471807930156595,0.04637945878148152,Equity,AAPL
2018-03-27,AAPL,42.085,-0.02564102564102566,-0.025975486403260677,Equity,AAPL
2018-03-28,AAPL,41.62,-0.01104906736366884,-0.01111056169805113,Equity,AAPL
2018-03-29,AAPL,41.945,0.0078087457952908945,0.007778415332769718,Equity,AAPL
2018-04-02,AAPL,41.67,-0.006556204553582079,-0.006577790863895836,Equity,AAPL
